HVQ_036_000001	Của bầu một nước, không gì quý bằng đất đai: nhân dân và của cải đều do đấy mà sinh ra.
HVQ_036_015311	Vua nói: "Không nên rước lịnh giá đi trái đường để mưu lợi ích cho mình".
HVQ_036_015312	Rồi sai quay xe cứ theo hướng Ngọ mà đi.
HVQ_036_015313	Nay Minh Tông bác lời bàn của người bàn, cứ làm lễ an táng Bảo Từ.
HVQ_036_015314	Hai vị đều lấy lòng hiếu của mình mà làm, không mê hoặc thói thường, có thể gọi là hiền vậy.
HVQ_036_015315	Ngày xưa thiên tử chết, để 7 tháng mới chôn.
HVQ_036_015316	Chư hầu đều đến đưa đám.
HVQ_036_015317	Từ vua chư hầu trở xuống, cứ theo thứ bậc mà bớt tháng dần đi, đều là để đủ sức làm việc, việc làm đủ thì mới thành, việc muốn thành thì phải theo lễ, có đủ lễ thì mới gọi là đầy đủ.
HVQ_036_015318	Đủ công việc hết lễ nghị, thế là tốt lành, chứ có câu nệ gì về ngày tháng giờ!
HVQ_036_015319	Theo kinh Xuân Thu, khi vua chư hầu chết, thì công sức cả một nước, làm việc gì mà chả xong.
HVQ_036_015320	Thế mà ngày Kỷ Mão mưa không chôn được, đến trưa ngày Canh Dần mới chôn, ngày Đinh Tỵ mưa không chôn được; đến chiều ngày Mậu Ngọ mới chôn.
HVQ_036_015321	Kể ra, sai một ngày thì chỉ cái cuộc tứ trụ (năm, tháng, ngày, giờ) có thay đổi, chứ có quan hệ gì đến hưng suy của vận nước, dài ngắn của ngôi vua.
HVQ_036_015322	Từ đời Tấn, đời Đường về sau, những nhà thuật số đặt ra cái thuyết chọn ngày tốt xấu, chi ly xuyên tạc, đến hơn mấy chục nhà.
HVQ_036_015323	Cùng là ngũ hành mà nhà nọ nhà kia không giống nhau, cùng một hướng núi mà khi thì tốt khi thì xấu; thậm chí lại đặt ra những thuyết có huyệt thì sát cả nhà, có huyệt phải đắp như núi, có huyệt thì chết con trưởng, để cho người đời sợ, kẻ ngu tin.
HVQ_036_015324	Cho nên có kẻ hoãn việc tang cha mẹ lại đến (1) Mẹ của Minh Tông, vợ của Anh Tông.
HVQ_036_015325	Hàng năm, bới chỗ đất tốt để tìm phương hướng.
HVQ_036_015326	Đất chia lắm kiểu, kiêng kỵ càng nhiều.
HVQ_036_015327	Quên cha mẹ lo lợi mình, bỏ cả lễ để cầu phúc.
HVQ_036_015328	Nhưng mà hợp lộ, hợp mã, tam kỳ, tam bạch, tử vi, loan giá, bắc thần, hành nha, nhan nhản những quẻ tốt đó mà chưa bao giờ cho kẻ bất hiếu được hưởng phúc.
HVQ_036_015329	Việc câu nệ lý số, Minh Tông cho là vô lý bác đi, mà quyết ý làm lễ an táng mẹ.
HVQ_036_015330	Mấy câu hỏi vặn về hướng cũng đủ phá tan điều mê muội của người xem quẻ.
HVQ_036_015331	Đế vương còn thế, huống chi người thường.
HVQ_036_015332	Sau khi chôn Bảo Từ hoàng thái hậu rồi, Minh Tông cũng chẳng việc gì.
HVQ_036_015333	Thế đủ biết việc chọn ngày có nghiệm hay không.
HVQ_036_015334	Duy có Bảo Từ thái hậu mất, đến đây đã 3 năm mới chôn, về kỳ hạn chôn vào lăng của nhà Trần, phần nhiều không theo lễ cổ, cũng là một việc lầm lỗi.
HVQ_036_015335	Dụ Tông, năm Thiệu Phong thứ 4 [1344], mùa thu, tháng 8, an táng Hiến Tông ở An lăng, phủ Kiến Xương (Hiến Tông mất tháng 6 năm Tân Tỵ, đến tháng 8 năm Giáp Thân mới chôn).
HVQ_036_015336	Chúc Lý họ Ngô nói: Thiên tử mất thì 7 tháng mới chôn.
HVQ_036_015337	Ngày xưa, Hoàn vương nhà Chu 7 năm mới chôn, là vì có Tử Nghi, Hắc Khiên làm loạn.
HVQ_036_015338	Hiến Tông chết đến 4 năm mới chôn, không thấy nói vì cớ gì, có lẽ vì thượng hoàng còn sống, nên phải theo mệnh lệnh chăng?
HVQ_036_015339	Thế mà bấy giờ không thấy có ai viện lễ cổ để can cả.
HVQ_036_015340	Ngọ Phong họ Ngô nói: Đời nhà Trần để chậm việc sơn lăng, đã thành thói quen, không biết là trái lễ, cho nên không có ai can cả.
HVQ_036_015341	Song Minh Tông là vua cha ở trên mà để việc chôn Hiến Tông vào lăng không theo đúng lễ, chỉ vì không cho việc ấy là việc lớn, chẳng cũng bạc lắm ư?
HVQ_036_015342	Năm thứ 17 [1357], mùa xuân, tháng 2, thượng hoàng mất ở cung Bảo Nguyên, đặt miếu hiệu là Minh Tông.
HVQ_036_015343	Đến mùa đông tháng 11 chôn ở Mục lăng, vì là câu nệ ngày giờ, nên để chậm.
HVQ_036_015344	Ngọ Phong họ Ngô nói: Đời nhà Trần, kỳ hạn sơn lăng phần nhiều không theo lễ cổ, hoặc vì cớ gì, hoặc vì kiêng kỵ, hoặc vì câu nệ ngày giờ, mà để chậm, không phải chỉ một lần này.
HVQ_036_015345	Năm Đại Trị thứ 12 [1369], mùa hạ, ngày 25 tháng 4, vua mất ở tẩm điện [nhà ngủ], đặt miếu hiệu là Dụ Tông.
HVQ_036_015346	Mùa đông tháng 11, chôn ở Phụ lăng.
HVQ_036_015347	Lễ nghỉ chí 813 Lê Thái Tổ mất, đem về chôn ở Vĩnh lăng tại Lam-Sơn (Ngày 22 tháng 8 mất, ngày 21 tháng 11 chôn).
HVQ_036_015348	Hành khiển Nguyễn Trãi phụng sắc soạn văn bia.
HVQ_036_015349	Thái Tông mất, đem về chôn ở bên tả Vĩnh lăng, gọi là Hựu lăng.
HVQ_036_015350	Hàn lâm thị độc học sĩ Nguyễn Thiên Tích soạn văn bìa (mồng 4 tháng 8 mất, mồng 6 tháng 10 chôn).
HVQ_036_015351	Xét: Lễ ngày xưa, thiên tử mất 7 tháng mới chôn.
HVQ_036_015352	Từ đời Hán về sau, lăng xây sẵn, cho nên kỳ hạn chôn thường ngắn hơn, có khi gấp thì không đầy 1 tháng.
HVQ_036_015353	Nước Việt ta đời nhà Lý kỳ hạn chôn còn theo lễ cổ; đến nhà Trần thì lại để chậm quá.
HVQ_036_015354	Buổi đầu nhà Lê, nắn lại cái lệ của nhà Trần, lễ chôn vào lăng phần nhiều làm ngay, như lễ chôn Thái Tổ và Thái Tông kỳ hạn chỉ trong 2 - 3 tháng, làm như việc cấp bách không thể trì hoãn được.
HVQ_036_015355	Nhưng đại yếu, nắn cong quá độ cũng không phải là điển lễ chính đáng.
HVQ_036_015356	Lại xét: Dụng bia ở lăng vốn không phải là lễ chế đời xưa, đời sau làm thêm văn vẻ, là có ý muốn phô trương công lớn để lưu truyền vĩnh viễn, cũng là nghĩa tôi con nên làm, tức như trong Lễ có nói: "Lễ là do nghĩa mà làm".
HVQ_036_015357	Việc làm bia cũng vào loại ấy chăng?
HVQ_036_015358	Nhân Tông bị giết chết, Thánh Tông lên ngôi, làm lễ chiêu hồn, rồi đem chôn ở bên hữu Vĩnh lăng ở Lam-Sơn, gọi là Mục lăng (chết vào ngày 13 tháng 10 năm Kỷ Mão, chôn vào ngày 24 tháng 10 năm Canh Thìn).
HVQ_036_015359	Sai quan Trung thư sảnh trung thư lệnh tri tam quán sự nhưng trì học sinh ngự tiền nhị cục khinh xa đô úy là Nguyễn Trực và Nhập thị kinh điên thượng ky đô úy là Nguyễn Bá Kỳ cùng soạn văn bia.
HVQ_036_015360	Thánh Tông mất, đem về chôn ở bên tả Vĩnh lăng ở Lam-Sơn, gọi là Chiêu lãng (mất vào ngày 30 tháng giêng mùa xuân, ngày mồng 8 tháng 2 năm sau đem quan tài về đến Tây kinh: ngày 28 chôn).
HVQ_036_015361	Lễ quan xét theo việc cũ tâu xin dựng bia và khắc minh.
HVQ_036_015362	Hiến Tông cho lời tâu là phải, sai Đông các đại học sĩ là Thân Nhân Trung, Lễ bộ (1) Tây binh: tức Lam Kinh, là Lam-Sơn, Thanh-Hóa (9) Minh: Bài văn ở trong bia, cứ 4 chữ một câu và có vần.
HVQ_036_015363	Thượng thư là Đàm Văn Lễ và Đông các đại học sĩ là Lưu Hưng Hiếu cùng soạn văn bia.
HVQ_036_015364	Đến ngày chôn, vua sai 10 người nữ quan và nữ sử đi đưa linh cữu, chôn xong rồi cho ra khỏi cung.
HVQ_036_015365	Hiến Tông mất, chôn ở Dụ lăng (mất ngày 25 tháng 4, 18 tháng 10 phát dẫn quan tài về Tây Kinh, đến mồng 8 tháng 11 mới chôn).
HVQ_036_015366	Lễ quan xét theo việc cũ tâu xin dựng bia.
HVQ_036_015367	Túc Tông cho lời tâu là phải, sai quan văn là bọn Nguyễn Nhân Thiếp, Phạm Thịnh, Trình Chí Sâm soạn văn bia.
HVQ_036_015368	Túc Tông mất, chôn ở Kính lăng (mất ngày mồng 8 tháng 12 năm trước, đến tháng 2 năm sau mới chôn).
HVQ_036_015369	Uy Mục đế sai bọn Đàm Văn Lễ, Nguyễn Nhân Thiếp, Phạm Thịnh, Trình Chí Sâm soạn văn bia.
HVQ_036_015370	Uy Mục đế chôn ở An lăng (ở xã Phù Chẩn, huyện Đông Ngàn), (Từ đây trở xuống bốn vua đều bị giết).
HVQ_036_015371	Tương Dực đế chôn ở Nguyên lăng (ở xã Mỹ Xá, huyện Ngự Thiên).
HVQ_036_015372	Chiêu Tông chôn ở lăng Vĩnh Hưng (ở huyện Thanh Đàm).
HVQ_036_015373	Cung hoàng chôn ở lăng Hoa Dương (ở xã Mỹ Xá, huyện Ngự Thiên).
HVQ_036_015374	Trang Tông mất, chôn ở Cảnh lăng, Lam Sơn (tháng giêng mất, tháng 3 chôn).
HVQ_036_015375	Trung Tông mất, chôn ở Diện lăng, Lam Sơn.
HVQ_036_015376	Anh Tông mất, chôn ở lăng Bố Vệ (ngày 23 tháng giêng mất, ngày... tháng 2 chôn).
HVQ_036_015377	Thế Tông mất, chôn ở lăng Hoa Nhạc, huyện Đông Sơn.
HVQ_036_015378	Kính Tông mất, chôn ở lăng Bố Vệ (ngày... tháng 5 mất, chôn ngay tháng ấy).
HVQ_036_015379	Thần Tông mất, chôn ở lăng Quần Đội (ngày 22 tháng 9 mất, tháng 12 chôn).
HVQ_036_015380	Chân Tông mất, chôn ở lăng Hoa Phố (ngày 22 tháng 3 mất, tháng 10 chôn).
HVQ_036_015381	Huyền Tông mất, chôn ở lăng Quá Thịnh (ngày Quý Tỵ tháng 10 mất, ngày Nhâm Thân tháng 11 chôn).
HVQ_036_015382	Lề nghi chí 815: Gia Tông mất, chôn ở lăng Phúc An (ngày mồng 3 tháng 4 mất, tháng 6 chôn).
HVQ_036_015383	Hy Tông mất, chôn ở lăng Phú Hoa.
HVQ_036_015384	Dụ Tông mất, chôn ở lăng Cổ Đô.
HVQ_036_015385	Thuần Tông mất, chôn ở lăng Bình Ngô.
HVQ_036_015386	Ý Tông mất, diên ở lăng Phù Lê.
HVQ_036_015387	Hiển Tông mất, chôn ở lăng Bàn Thạch.
HVQ_036_015388	Minh Khang Thái vương chôn ở lăng Biện Thượng.
HVQ_036_015389	Thành Tổ Triết vương chôn ở lăng Sóc Sơn.
HVQ_036_015390	Văn Tổ Nghị vương chôn ở xã Cửu Bào.
HVQ_036_015391	Hoằng Tổ Dương vương chôn ở sách Vạn Lại.
HVQ_036_015392	Chiêu Tổ Khang vương chôn ở xã Diên Thượng (huyện Yên Định).
HVQ_036_015393	Thuần Tổ Lương Mục vương chôn ở xã Cổ Biện.
HVQ_036_015394	Hy Tổ Nhân vương chôn ở xã Xích Lộ (sau dời chôn xã Khoái Lạc, huyện Đông Sơn).
HVQ_036_015395	Nghị Tổ An vương chôn ở xã Thịnh Điện (sau dời chôn ở xã Kim Vực).
HVQ_036_015396	Thành Tổ Thịnh vương chôn ở xã Trịnh Phúc.
HVQ_036_015397	Anh liệt Linh vương chôn ở xã Phương Luệt.
HVQ_036_015398	(1) Trịnh Kiểm.
HVQ_036_015399	(2) Trịnh Tùng.
HVQ_036_015400	(3) Trịnh Tráng.
HVQ_036_015401	(4) Trịnh Tạc.
HVQ_036_015402	(5) Trịnh Căn.
HVQ_036_015403	(6) Trịnh Vịnh, con Trịnh Căn, ông Trịnh Cương.
HVQ_036_015404	(7) Trịnh Cương.
HVQ_036_015405	(8) Trịnh Doanh.
HVQ_036_015406	(9) Trịnh Sâm.
HVQ_036_015407	(10) Có lẽ là Trịnh Khải.
HVQ_036_015408	Lịch triều hiến chương loại chí Xét: Lễ sơn lăng ở triều Lê, đến kỳ chôn thì rước quan tài xuống thuyền đi từ bến Lô theo đường thủy về Tây kinh để an táng, đời trước đời sau đều như thế cả.
HVQ_036_015409	Thời quốc sơ chỉ có 4 lăng(1) cùng chôn ở Lam Sơn, từ Hiến Tông trở xuống thì các lăng đều chôn riêng chỗ đất tốt, không cứ xa gần.
HVQ_036_015410	Còn như làm văn bia để kể công đức thì chỉ 6 lăng(2) đời quốc sơ là có, từ đời Uy Mục đế trở xuống, 4 đời vua đều chết không trọn vẹn, cho nên việc làm văn bia bỏ không làm nữa.
HVQ_036_015411	Từ đời Trung hưng về sau, thì Trang Tông, Trung Tông và Anh Tông, ba vị vua này chưa lấy lại được Kinh thành, lễ nghi sơn lăng giản lược, cho nên không rỗi mà thuật công đức.
HVQ_036_015412	Từ Thế Tông về sau thì chúa Trịnh giữ quyền, kỳ hạn sơn lăng phần nhiều phải vội gấp, mà đức tính của các vua ngồi không không được xưng tụng, thành ra cũng không phô trương.
HVQ_036_015413	Đối với các chúa Trịnh thì công việc chôn ở lăng cũng giống như các vua Lê, nhưng nghi văn thì thịnh hơn.
HVQ_036_015414	Số mục lễ tiết chép cả ra sau đây: Trước khi phát dẫn thì quan đổng lĩnh chiếu theo thứ tự trong bản đồ mà giàn bày nghi vệ.
HVQ_036_015415	Quan quân chực sẵn.
HVQ_036_015416	Quan Lễ phiên bày trước lễ vật ở bên hữu đại dư [bộ đòn].
HVQ_036_015417	Làm lễ cáo Dư thần.
HVQ_036_015418	Nghi tiết như sau: Quan phụng mệnh đứng vào chỗ, lạy 4 lạy, đứng dậy, đứng ngay, quỳ, mở hồ rượu, đọc cáo văn, phục xuống, đứng dậy, lạy 2 lạy, đứng dậy, đứng ngay, cúi lạy 4 lạy, đứng dậy, đứng ngay, đốt cáo văn.
HVQ_036_015419	Lễ tất.
HVQ_036_015420	(Văn khấn: Nay ngày... tháng... năm... được lệnh ủy cho tôi (chức và tên), kính dâng các thứ xôi, lợn, rượu, vàng bạc để cáo với Dư thần, hôm nay rước quan tài chúa, mỹ tự trong kim sách là..., lên đại dư, trong khi đi đường, nhờ thần linh giữ gìn giúp đỡ.
HVQ_036_015421	Kính cáo).
HVQ_036_015422	Sắp đến giờ, quan Lễ phiên đặt các nghi vật ở trước linh sàng, làm lễ cáo chuyển quan tài.
HVQ_036_015423	Nghi tiết như sau: Đến vị lễ, cử ai [khóc lên].
HVQ_036_015424	(1) Bốn lăng: Thái Tổ, Thái Tông, Nhân Tông, Thánh Tông.
HVQ_036_015425	(2) Sáu lăng: tức 4 lăng trên và thêm Hiến Tông, Túc Tông.
HVQ_036_015426	Lễ nghỉ chí, người lễ rửa tay, đốt hương, rót rượu, dâng rượu, người lễ quỳ, đọc cáo từ (nay được giờ lành, rước quan tài chúa lên đại dư, kính cáo), dâng trà, cúi lạy, đứng dậy (2 lần), đứng ngay.
HVQ_036_015427	Lễ tất.
HVQ_036_015428	Quan Lễ phiên quỳ xuống, tâu xin rước hồn bạch chúa lên kiệu.
HVQ_036_015429	Quan đổng lĩnh theo tiết thứ rước quan tài lên đại dư.
HVQ_036_015430	Để quan tài lên đại dư xong rồi, quan Lễ phiên bày hai chiếc long sàng (một chiếc để hồn bạch, một chiếc bày lễ vật) ở trước đại dư, xoay về hướng nam, rồi theo tiết thứ rước hồn bạch để vào long ngai ở trên long sàng.
HVQ_036_015431	Làm lễ tế "điện", nghi tiết như sau: Đến vị lễ, cử ai, người lễ rửa tay, đốt hương, rót rượu, dâng rượu, người lễ quỳ, đọc cáo từ (kiệu rồng đã sẵn, rước về huyền cung [âm cung], bày lễ phát đẫn, vĩnh quyết đời đời.
HVQ_036_015432	Kính cáo), dâng trà, cúi lạy (vừa khóc vừa lạy 4 lạy), đứng dậy.
HVQ_036_015433	Lễ tất.
HVQ_036_015434	Quan Lễ phiên quỳ xuống xin rước hồn bạch lên kiệu.
HVQ_036_015435	Triệt bỏ bàn lễ phát dẫn (đem các món bày cúng để vào bàn đồ ăn).
HVQ_036_015436	Quan đổng lĩnh theo thứ tự trong bản đồ mà rước đi.
HVQ_036_015437	Đến nhà tế ở bãi cát, quan Lễ phiên quỳ xuống, xin rước hồn bạch lên nhà tế.
HVQ_036_015438	Quan đổng lĩnh theo tiết thứ rước quan tài xuống thuyền.
HVQ_036_015439	Chúa xem xét xong rồi đến nhà tế làm lễ.
HVQ_036_015440	Nghi tiết như sau: Đến vị lễ, cứ ai, người lễ rửa tay, đốt hương, rót rượu, dâng rượu, quỳ, đọc chúc văn, phục xuống, đứng dậy, đứng ngay, dâng trà, cúi lạy (vừa khóc vừa lạy 4 lạy), đứng dậy, đứng ngay, đốt chúc văn.
HVQ_036_015441	Lễ tất.
HVQ_036_015442	Rước quan khâm mạng của vua đến làm lễ.
HVQ_036_015443	Nghi tiết như sau: Quan khâm mạng đến vị lễ, cử ai [khóc lên], ai chí [thôi khóc], người lễ rửa tay, đốt hương, rót rượu, dâng rượu, quỳ đọc chúc văn, phục xuống, đứng dậy, đứng ngay, cử ai, cúi lạy, đứng dậy (4 lần), đứng ngay, đốt chúc văn.
HVQ_036_015444	Lễ tất.
HVQ_036_015445	Hoàng thái tử vào làm lễ (lạy 4 lạy).
HVQ_036_015446	Hai ban văn võ vào làm lễ.
HVQ_036_015447	Nghi tiết như sau: Đến vị lễ, cử ai, ai chí, người lễ rửa tay, đốt hương, rót.
HVQ_036_015448	(1) Hồn bạch: dùng mấy thước lụa kết lại như hình người cho hồn người chết tựa vào đấy.
HVQ_036_015449	(2) Long sàng: bàn thờ chạm rồng.
HVQ_036_015450	(3) Điện: đặt lễ vật trước lĩnh vị mà tế.
HVQ_036_015451	Lịch triều hiến chương loại chí rượu, dâng rượu, quỳ, đọc chúc văn, phục xuống, đứng dậy, đứng ngay, cúi ai, cúi lạy, đứng dậy (4 lần), đứng ngay, đốt chúc văn.
HVQ_036_015452	Lễ tất.
HVQ_036_015453	Những người dâng lễ vật theo thứ tự vào làm lễ.
HVQ_036_015454	Làm lễ xong, quan điển lễ đến trước hương án quỳ xuống khấn (xin hồn bạch ngự xuống thuyền).
HVQ_036_015455	Quan Lễ phiên chiếu tiết thứ quỳ xin rước hồn bạch lên kiệu.
HVQ_036_015456	Quan đổng lĩnh theo tiết thứ rước hồn bạch xuống thuyền.
HVQ_036_015457	Võng chúa theo sau, các em trai chúa, các con rể chúa đi theo hơi xa; các chị em gái chúa và các cung tần thì đều ở lại nhà tế; những người dự vào hạng để tang thì theo thứ tự trong bản đồ đi đến bờ sông.
HVQ_036_015458	Khi rước hồn bạch xuống thuyền rồi, rước chúa lên vọng xá đứng trông (khi thuyền ra đi, chúa đứng trông theo thuyền chở quan tài, khóc lên, đợi khi thuyền chở quan tài đi đã hơi xa mới trở về.
HVQ_036_015459	Các em trai chúa, em rể chúa và các quan văn võ đều đứng khóc ở sau nhà tế).
HVQ_036_015460	Đến giờ, quan đổng lĩnh cho thuyền đi.
HVQ_036_015461	Sau khi đã đi thì buổi sớm buổi chiều cúng cơm và làm theo nghi tiết các lễ, hoặc tạm đóng lại ở các trạm dọc đường để làm lễ, hoặc tùy tiện làm lễ ngay ở thuyền để hồn bạch, đều theo nghi tiết như hằng ngày chúa ở Kinh đô.
HVQ_036_015462	Các Trấn thủ và các quan Thừa Hiến ở dọc đường đều đặt trạm để cung tiến lễ vật.
HVQ_036_015463	Khi đến bến đò Thanh Hóa, rước lên bộ, thì làm lễ tạ thần Hà Bá.
HVQ_036_015464	Nghi tiết như sau: Quan phụng mạng đến vị lễ, cúi lạy, đứng dậy (4 lần), đứng ngay, quỳ, mở hồ rượu, đọc chúc, phục xuống, đứng dậy, lạy, đứng dậy (2 lần), đứng ngay, cúi lạy, đứng dậy (4 lần), đốt chúc văn.
HVQ_036_015465	Lễ tất.
HVQ_036_015466	(Văn khấn như sau: "Ngày, tháng, năm, niên hiệu, kim sách của chúa, kính đem thịt xôi và giấy vàng bạc các thứ dâng trước bàn thờ thần Hà Bá mà khấn rằng: Nay rước quan tài của vương phụ, mĩ tự kim sách là... về chôn ở lăng, trong khi nghi vệ đi thuyền, sông nước đều được bình yên, là nhờ công đức của thần linh giúp, nên có lễ mọn, tỏ lòng cảm tạ.
HVQ_036_015467	Xin hưởng cho").
HVQ_036_015468	Đến ngày, buổi sáng thật sớm, quan đổng lĩnh chiểu theo tiết thứ, chuẩn bị giàn nghi vệ rước lên bộ.
HVQ_036_015469	Nhân lễ cúng cơm sớm, cáo xin rước quan tài lên bộ (nghi tiết cũng giống như cúng cơm sớm).
HVQ_036_015470	Lời khấn: "Nay được ngày tốt, xin rước quan tài ở thuyền lên để về".
HVQ_036_015471	Quan Lễ phiên theo tiết thứ quỳ xin rước hồn bạch lên kiệu và xin rước quan tài ở thuyền lên đại dư.
HVQ_036_015472	Quan đổng lĩnh theo thứ tự trong bản đồ mà rước đi.
HVQ_036_015473	Đến nhà tế ở chỗ lên bộ, Lễ quan quỳ xuống xin rước hồn bạch vào nhà.
HVQ_036_015474	Lễ nghỉ chí.
HVQ_036_015475	819 tế, rồi làm lễ hiến.
HVQ_036_015476	Nghi tiết như sau: Quan phụng mạng đến vị lễ, cử ai, người lễ rửa tay, đốt hương, rót rượu, dâng rượu, quỳ, độc chúc, phục xuống, đứng dậy, đứng ngay, dâng trà, cúi lạy, đứng dậy (4 lần), đứng ngay, đốt chúc văn.
HVQ_036_015477	Lễ tất.
HVQ_036_015478	Quan Lễ phiên quỳ xin rước hồn bạch lên kiệu.
HVQ_036_015479	Quan đổng lĩnh chiếu theo thứ tự trong bản đồ mà rước đi.
HVQ_036_015480	Đến nhà tế ở giữa đường, quan Lễ phiên quỳ xin rước hồn bạch vào nhà tế.
HVQ_036_015481	Làm lễ hiến (nghi tiết cũng giống như lễ hiến ở nhà tế khi mới lên bộ).
HVQ_036_015482	Quan Lễ phiên quỳ xin rước hồn bạch lên kiệu.
HVQ_036_015483	Quan đổng lĩnh lại theo thứ tự trong bản đồ mà rước đi.
HVQ_036_015484	Khi đến nhà tế ở lăng, quan Lễ phiên quỳ xin rước hồn bạch vào nhà tế.
HVQ_036_015485	Đại dư đi thẳng đến trước lăng dừng lại.
HVQ_036_015486	Quan Lễ phiên quỳ xin rước quan tài vào tôn lăng.
HVQ_036_015487	Có quan trọng thần trông nom việc rước quan tài.
HVQ_036_015488	Quan đổng lĩnh phát hiệu khiêng quan tài đặt lên trên một chiếc chiếu (trước đó, quan trị lăng đã đặt phên tre trên trải chiếu đôi ở trước lăng), rồi làm lễ hiến ở nhà tế trong lăng.
HVQ_036_015489	Nghi tiết như sau: Quan phụng mạng đến vị lễ, cử ai, người lễ rửa tay, đốt hương, rót rượu, dâng rượu, dâng trà, cúi lạy, đứng dậy (2 lần), đứng ngay.
HVQ_036_015490	Lễ tất.
HVQ_036_015491	Đến giờ, quan Lễ phiên quỳ xuống khấn: "Nay được giờ lành, xin rước quan tài vào huyệt".
HVQ_036_015492	Quan đổng lĩnh đem các binh trạm vào làm lễ xong, rồi dìu quan tài hạ xuống huyệt.
HVQ_036_015493	Quan phụng mạng sửa sang lại áo bọc quan tài, trải minh tinh, tặng lụa đen, theo tiết thứ mà làm.
HVQ_036_015494	Quan phụng mạng đến trước huyệt vừa khóc vừa lạy (2 lạy), đứng dậy, đứng ngay.
HVQ_036_015495	Quan xem đất trị lăng và các quan phụng thị ở lăng đều đến trước lăng khóc rất thầm thương, lạy rồi lui ra.
HVQ_036_015496	Các cung tần quý nhân của chúa đều đến trước huyệt, cách huyệt một tý, đứng trong cái màn trắng, khóc và lạy xong thì lánh đi.
HVQ_036_015497	Các quan văn võ đứng ở ngoài cửa lăng, theo thứ tự vào khóc, lạy rồi lui ra.
HVQ_036_015498	Quan trị lăng theo đúng phép mà làm.
HVQ_036_015499	Ngày hôm ấy, ở Kinh đô cũng đặt hương án trông về phía lăng để rước chúa ra bái vọng.
HVQ_036_015500	(1) Minh tinh: cái cờ bằng lụa viết tên tuổi chức tước (nếu có) của người chết, khi đưa đám thì treo ở một cái cán để bên hữu linh cữu, khi chôn thì lấy cờ ấy trải lên trên quan tài mà chôn.
HVQ_036_015501	Tế thần Hậu thổ: Trước khi ấy, quan Lễ phiên bày lễ tại nhà tế thần Hậu thổ ở bên tả lăng, khi táng được nửa chừng thì làm lễ.
HVQ_036_015502	Nghi tiết như sau: Quan phụng mạng đến vị lỗ, cúi lạy, đứng dậy (2 lần).
HVQ_036_015503	Quan phụng mạng và quan chấp sự đều lạy, đứng ngay, rửa tay (quan phụng mạng và quan chấp sự đều rửa tay), đến trước hương án, quỳ, dâng hương, đổ rượu (quan phụng mạng rót cả chén rượu xuống đất), dâng rượu (quan chấp sự lại rót rượu và dâng), phục xuống, đứng dậy, đứng ngay, lùi xuống một chút rồi quỳ, đọc chúc (người đọc quỳ ở bên tả quan phụng mạng), phục xuống, đứng dậy, đứng ngay, về chỗ, cúi lạy đứng dậy (2 lạy), đứng ngay, đốt cáo văn.
HVQ_036_015504	Lễ tất.
HVQ_036_015505	(Văn khấn như sau: "Ngày... tháng... năm... niên hiệu... kim sách của chúa, đến trước bàn thờ thần Hậu thổ khấn rằng: Nay rước vương phụ mĩ tự trong kim sách là... chôn cất vào lăng, nhờ thần giúp cho để không xảy ra sự gì khó khăn về sau.
HVQ_036_015506	Kính cẩn đem các thứ thịt, xôi tiến cúng, mong thần hưởng cho").
HVQ_036_015507	Nghi tiết đề thần vị: Ngày hôm ấy, quan Lễ phiên bày sẵn lễ vật ở nhà đề thần vị.
HVQ_036_015508	Quan đổng lĩnh theo tiết thứ rước hồn bạch từ nhà tế ở lăng đến nhà tế thần vị.
HVQ_036_015509	Đến khi táng được nửa chừng thì làm lễ đề thần vị.
HVQ_036_015510	Nghi tiết như sau: Quan phụng mạng đến vị lễ (đứng ngoảnh mặt vào bàn thờ), người lễ rửa tay (cả quan đề chủ và các quan chấp sự đều rửa tay), rước thần vị đặt lên trên bàn (quan Lễ phiên lấy một tấm lụa lót tay bưng thần vị đặt lên trên miếng lụa đỏ), đề thần vị (quan đề chủ đứng ở bên tả cái bàn, quay mặt sang bên hữu mà đề), rước thần vị đặt lên bàn thờ (quan Lễ phiên bưng thần vị để vào trong áo phong trên ngai), thu hồn bạch lại (người hầu thu lấy hồn bạch để ở đằng sau thần vị), cử ai, đốt hương, rót rượu, dâng rượu, quỳ, đọc chúc, phục xuống, đứng dậy, đứng ngay, cúi lạy, đứng dậy (vừa khóc vừa lạy 3 lạy), đứng ngay, đốt chúc văn.
HVQ_036_015511	Lễ tất (quan đề chủ lui ra, quan Lễ phiên đưa cho quan đề chủ một nén bạc của chúa cho).
HVQ_036_015512	Văn chúc như sau: "Nay ngày, tháng, năm, niên hiệu, con mồ côi là... (tên chúa) kính cẩn cáo trước bàn thờ cha là... (mĩ tự trong sách vàng), rằng: sơn lăng đã yên ổn, thần vị đã đề xong, cúi xin tôn linh nương tựa vào đó.
HVQ_036_015513	Mong hưởng cho".
HVQ_036_015514	Đốt bộ đòn đại dư và các khí cụ, chỉ để lại 1 cây linh phướn, 3 cây phướn đài, 1 cỗ hương đình, 4 mâm vàng bạc, 200 cái phướn cầm tay.
HVQ_036_015515	(1) Hương đình: long đình có để đỉnh hương.
HVQ_036_015516	Lệnh nghỉ chí 821.
HVQ_036_015517	Khi làm lễ đề thần vị xong, quan Lễ phiên quỳ xuống khấn: "Xin rước thần vị lên kiệu về nhà tế".
